Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001A_001,SE_A01001A_002,SE_A01001A_003,SE_A01001A_004,SE_A01001A_005,SE_A01001A_006,SE_A01001A_007,SE_A01001A_008,SE_A01001A_009,SE_A01001A_010,SE_A01001A_011,SE_A01001A_012,SE_A10003_001,SE_A14010_001,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003
17031060200,14000US17031060200,"Census Tract 602, Cook County, Illinois","Census Tract 602, Cook County, Illinois",il,140,0,ACSSF,5943,17,31,60200,2279,106,182,312,383,575,1308,1741,1962,2119,2178,2279,2.05,126250,383,113,270
17031060300,14000US17031060300,"Census Tract 603, Cook County, Illinois","Census Tract 603, Cook County, Illinois",il,140,0,ACSSF,5944,17,31,60300,3461,350,622,737,772,1048,2076,2767,3135,3260,3396,3436,2.54,178086,772,0,772
17031060400,14000US17031060400,"Census Tract 604, Cook County, Illinois","Census Tract 604, Cook County, Illinois",il,140,0,ACSSF,5945,17,31,60400,3980,421,668,764,821,1367,2431,3233,3603,3831,3951,3980,2.58,178824,821,7,814
17031060500,14000US17031060500,"Census Tract 605, Cook County, Illinois","Census Tract 605, Cook County, Illinois",il,140,0,ACSSF,5946,17,31,60500,1306,75,151,162,173,294,572,753,856,941,1181,1290,1.67,146250,173,6,167
17031060800,14000US17031060800,"Census Tract 608, Cook County, Illinois","Census Tract 608, Cook County, Illinois",il,140,0,ACSSF,5947,17,31,60800,4825,120,187,328,404,724,2569,3403,3926,4282,4670,4778,1.57,128509,404,0,404
17031060900,14000US17031060900,"Census Tract 609, Cook County, Illinois","Census Tract 609, Cook County, Illinois",il,140,0,ACSSF,5948,17,31,60900,7529,265,412,560,629,1678,4104,5187,6200,6910,7177,7375,1.61,96106,629,0,629
17031061000,14000US17031061000,"Census Tract 610, Cook County, Illinois","Census Tract 610, Cook County, Illinois",il,140,0,ACSSF,5949,17,31,61000,2085,75,118,118,122,564,1526,1796,1896,2016,2054,2066,2.12,140500,122,0,122
17031061100,14000US17031061100,"Census Tract 611, Cook County, Illinois","Census Tract 611, Cook County, Illinois",il,140,0,ACSSF,5950,17,31,61100,1421,60,80,113,119,521,1153,1273,1338,1387,1415,1421,2.34,181172,119,0,119
17031061200,14000US17031061200,"Census Tract 612, Cook County, Illinois","Census Tract 612, Cook County, Illinois",il,140,0,ACSSF,5951,17,31,61200,1897,130,224,265,286,609,1311,1524,1757,1834,1884,1897,2.4,159609,286,0,286
17031061500,14000US17031061500,"Census Tract 615, Cook County, Illinois","Census Tract 615, Cook County, Illinois",il,140,0,ACSSF,5952,17,31,61500,1917,112,161,198,229,500,1399,1583,1757,1840,1906,1917,2.39,139191,229,5,224
17031061800,14000US17031061800,"Census Tract 618, Cook County, Illinois","Census Tract 618, Cook County, Illinois",il,140,0,ACSSF,5953,17,31,61800,1212,48,71,83,93,327,780,947,1037,1115,1191,1212,1.55,115781,93,6,87
17031061901,14000US17031061901,"Census Tract 619.01, Cook County, Illinois","Census Tract 619.01, Cook County, Illinois",il,140,0,ACSSF,5954,17,31,61901,3513,53,156,227,246,562,1989,2458,2909,3229,3412,3492,1.55,109384,246,0,246
17031061902,14000US17031061902,"Census Tract 619.02, Cook County, Illinois","Census Tract 619.02, Cook County, Illinois",il,140,0,ACSSF,5955,17,31,61902,4512,83,137,176,181,600,1926,2374,2830,3609,4171,4476,1.55,92125,181,23,158
17031062000,14000US17031062000,"Census Tract 620, Cook County, Illinois","Census Tract 620, Cook County, Illinois",il,140,0,ACSSF,5956,17,31,62000,3022,88,185,196,208,585,2036,2402,2775,2848,2975,3010,1.95,155625,208,15,193
17031062100,14000US17031062100,"Census Tract 621, Cook County, Illinois","Census Tract 621, Cook County, Illinois",il,140,0,ACSSF,5957,17,31,62100,3740,177,232,245,255,1019,2482,2912,3225,3479,3638,3719,2.08,167778,242,0,242
17031062200,14000US17031062200,"Census Tract 622, Cook County, Illinois","Census Tract 622, Cook County, Illinois",il,140,0,ACSSF,5958,17,31,62200,2833,193,291,297,297,807,2070,2428,2677,2770,2823,2823,2.22,156103,274,10,264
17031062300,14000US17031062300,"Census Tract 623, Cook County, Illinois","Census Tract 623, Cook County, Illinois",il,140,0,ACSSF,5959,17,31,62300,1728,190,225,322,348,498,1182,1446,1587,1661,1713,1728,2.43,250001,348,0,348
17031062400,14000US17031062400,"Census Tract 624, Cook County, Illinois","Census Tract 624, Cook County, Illinois",il,140,0,ACSSF,5960,17,31,62400,1433,117,185,232,242,309,898,1144,1252,1327,1409,1433,2.13,195795,242,11,231
17031062500,14000US17031062500,"Census Tract 625, Cook County, Illinois","Census Tract 625, Cook County, Illinois",il,140,0,ACSSF,5961,17,31,62500,1568,154,205,233,235,398,1077,1319,1492,1523,1562,1568,2.19,220833,235,20,215
17031062600,14000US17031062600,"Census Tract 626, Cook County, Illinois","Census Tract 626, Cook County, Illinois",il,140,0,ACSSF,5962,17,31,62600,2288,331,482,554,593,738,1326,1895,2136,2204,2265,2288,2.4,228500,593,0,593
17031062700,14000US17031062700,"Census Tract 627, Cook County, Illinois","Census Tract 627, Cook County, Illinois",il,140,0,ACSSF,5963,17,31,62700,2770,230,360,443,541,882,1664,2153,2358,2589,2719,2764,2.5,205000,541,0,541
